	Choanocyte	Archaeocyte	Pinacocyte
Aqu2.1.00695_001	1.771705189	1.823630653	3.131630544
Aqu2.1.00699_001	0.931658605	1.154173982	1.385056653
Aqu2.1.00701_001	0.65498	0.615629903	0.350724222
Aqu2.1.00702_001	1.076910368	2.305791962	1.078813696
Aqu2.1.00705_001	3.920591162	6.116523275	4.831741751
Aqu2.1.00706_001	4.581044984	4.048807837	4.631444728
Aqu2.1.00710_001	0.350724222	0.994562483	0.514417516
Aqu2.1.00711_001	1.707335544	0.737189384	1.927774207
Aqu2.1.00715_001	1.219166664	0.437977846	0.955600011
Aqu2.1.00716_001	0.350724222	0.594533752	0.871205424
Aqu2.1.00718_001	0.915566524	0.915686332	0.832884479
Aqu2.1.00719_001	0.671940246	1.20458374	0.727748146
Aqu2.1.00720_001	6.490931876	7.303390196	7.001443759
Aqu2.1.00723_001	1.221453719	2.586079459	1.701748201
Aqu2.1.00725_001	0.600640808	0.971103787	0.860732365
Aqu2.1.00726_001	0.970926819	0.668446246	0.514417516
Aqu2.1.00732_001	1.027994975	0.713835697	0.712924868
Aqu2.1.00733_001	0.779563766	0.906878833	0.841924759
Aqu2.1.00737_001	0.720039367	0.597000448	0.747186773
Aqu2.1.00738_001	0.819934458	0.615893625	0.548679421
Aqu2.1.00741_001	1.782690765	0.591693371	0.954460826
Aqu2.1.00752_001	7.279140787	6.705412056	6.699592617
Aqu2.1.00753_001	0.695125769	0.96649084	1.650585913
Aqu2.1.00754_001	0.963365505	0.970105025	0.350724222
Aqu2.1.00755_001	0.483111431	0.717483115	0.774073673
Aqu2.1.00757_001	1.000123288	0.479674488	1.469654331
Aqu2.1.00758_001	0.790889475	1.910367377	0.350724222
Aqu2.1.00762_001	0.957023458	0.890517532	0.925703345
Aqu2.1.00765_001	1.181210571	0.780111789	0.55913746
Aqu2.1.00766_001	2.182338852	0.850731206	0.664019948
Aqu2.1.00767_001	1.087792347	1.390446148	0.804858394
Aqu2.1.00769_001	0.495634014	0.765252688	0.919278292
Aqu2.1.00772_001	1.667002116	2.023779499	1.109182624
Aqu2.1.00777_001	1.150055772	0.924589942	0.712924868
Aqu2.1.00782_001	0.990328705	0.613367733	0.823995845
Aqu2.1.00784_001	2.057070361	1.283033488	1.620094918
Aqu2.1.00785_001	3.073077269	4.183410303	3.259722532
Aqu2.1.00787_001	0.473352313	0.477218881	1.064566468
Aqu2.1.00791_001	3.069644627	1.897944421	1.449995825
Aqu2.1.00792_001	0.498878231	0.756849924	0.350724222
Aqu2.1.00796_001	3.185825722	1.049164797	1.514601031
Aqu2.1.00800_001	0.483111431	0.422242994	1.202791136
Aqu2.1.00805_001	1.309962439	1.321333103	1.94946425
Aqu2.1.00812_001	2.216395084	1.594281081	1.335378089
Aqu2.1.00813_001	1.864118139	2.990592495	2.42223806
Aqu2.1.00814_001	0.677089157	0.603024573	0.678436929
Aqu2.1.00816_001	1.181564354	1.863090404	1.305332448
Aqu2.1.00817_001	2.523374601	1.851521895	1.177309321
Aqu2.1.00822_001	4.133976824	2.155584863	1.530785347
Aqu2.1.00825_001	0.514557513	0.84008752	0.722830754
Aqu2.1.00827_001	1.177960245	2.505396227	3.337343315
Aqu2.1.00828_001	5.676911393	3.32418211	2.91103911
Aqu2.1.00830_001	2.493834597	4.246810905	3.038966778
Aqu2.1.00837_001	0.768951613	1.168795756	1.060305971
Aqu2.1.00840_001	0.556685642	0.822245991	0.834493157
Aqu2.1.00841_001	0.933956024	0.422740605	0.624471241
Aqu2.1.00843_001	0.733497645	0.99643714	1.063409251
Aqu2.1.00845_001	2.486357457	2.328215133	1.686293484
Aqu2.1.00847_001	0.956078631	0.928330818	1.821769557
Aqu2.1.00848_001	0.970295524	0.74826788	0.350724222
Aqu2.1.00849_001	3.228666246	2.327410942	2.285498875
Aqu2.1.00850_001	1.167000263	0.460119468	0.747186773
Aqu2.1.00853_001	0.916803692	0.710361499	0.350724222
Aqu2.1.00855_001	3.87866538	2.304146175	2.927481857
Aqu2.1.00856_001	1.881663737	2.375198256	1.335635049
Aqu2.1.00859_001	0.671940246	0.749661084	0.913897291
Aqu2.1.00862_001	5.388214361	5.45926547	6.2615306
Aqu2.1.00864_001	0.915336667	0.540760906	0.350724222
Aqu2.1.00866_001	3.901473259	1.483866998	2.536690026
Aqu2.1.00867_001	1.01504851	2.630267184	1.667230876
Aqu2.1.00868_001	1.072421509	0.431612152	0.350724222
Aqu2.1.00870_001	0.567253012	0.553277111	0.736438846
Aqu2.1.00874_001	0.771538946	0.733827078	0.500326654
Aqu2.1.00876_001	0.840913452	1.512690649	0.99885905
Aqu2.1.00877_001	1.336945459	0.434727226	0.350724222
Aqu2.1.00880_001	3.137684344	3.915186723	3.582683525
Aqu2.1.00881_001	4.964384194	5.558081534	5.204488283
Aqu2.1.00886_001	4.065600626	3.175829237	3.466033913
Aqu2.1.00887_001	5.772432349	4.413738814	5.918179527
Aqu2.1.00890_001	3.182625035	1.451032226	1.109405244
Aqu2.1.00891_001	2.84584653	0.891528614	0.667301178
Aqu2.1.00895_001	0.593615096	0.77543799	1.078638364
Aqu2.1.00896_001	2.448089888	1.164152853	1.646377941
Aqu2.1.00898_001	3.124748936	4.231919171	4.077280429
Aqu2.1.00900_001	3.796293883	3.991021911	3.943626789
Aqu2.1.00902_001	2.204176099	2.135080021	1.943082266
Aqu2.1.00903_001	2.356470544	1.304921899	1.583766991
Aqu2.1.00906_001	1.803856765	0.811801947	0.972995371
Aqu2.1.00909_001	1.679895049	1.401103875	1.265321542
Aqu2.1.00910_001	1.45433968	1.022197788	0.624471241
Aqu2.1.00913_001	1.808566371	1.324303038	1.147788883
Aqu2.1.00914_001	0.549312154	0.350724222	1.599119566
Aqu2.1.00916_001	2.681580618	1.023727498	1.13554691
Aqu2.1.00918_001	0.841618647	0.350724222	1.117705072
Aqu2.1.00922_001	4.029175063	3.140447297	3.912177247
Aqu2.1.00923_001	0.993750347	0.510530748	0.623743833
Aqu2.1.00926_001	0.775242783	1.032351208	0.920796433
Aqu2.1.00930_001	1.034434664	0.65540613	0.350724222
Aqu2.1.00931_001	0.519605619	1.695548562	1.91893559
Aqu2.1.00932_001	1.216002377	0.545006282	0.350724222
Aqu2.1.00933_001	2.1674918	0.890306608	1.098639491
Aqu2.1.00935_001	2.091934981	1.123450485	1.391206681
Aqu2.1.00937_001	0.738140022	0.634853808	0.350724222
Aqu2.1.00938_001	0.765346549	0.775320789	0.350724222
Aqu2.1.00940_001	0.512665103	1.414430103	2.211027492
Aqu2.1.00942_001	1.621169666	1.547100328	1.644256778
Aqu2.1.00943_001	1.886920157	0.737103674	0.678436929
Aqu2.1.00944_001	2.381406771	1.78887061	2.623632429
Aqu2.1.00945_001	2.183608404	0.942661607	0.712924868
Aqu2.1.00946_001	0.959922032	0.581525977	0.664019948
Aqu2.1.00948_001	4.530413949	1.11419609	1.039879958
Aqu2.1.00950_001	1.352449	1.508840895	1.443785041
Aqu2.1.00952_001	3.814625639	2.561605218	2.502821101
Aqu2.1.00953_001	0.727282029	1.380424292	0.350724222
Aqu2.1.00957_001	2.251576008	1.919538282	2.207337316
Aqu2.1.00958_001	0.922642804	1.063994954	1.313927577
Aqu2.1.00962_001	0.674891118	0.700376364	0.78614039
Aqu2.1.00963_001	1.502145665	2.637920702	1.753155136
Aqu2.1.00965_001	0.350724222	0.718041636	1.032823885
Aqu2.1.00966_001	1.868168866	0.76525407	1.682687065
Aqu2.1.00967_001	0.857230793	2.196732681	0.774073673
Aqu2.1.00968_001	1.922297677	1.363232017	1.714611061
Aqu2.1.00972_001	2.201173149	1.238408715	0.967714616
Aqu2.1.00974_001	0.634174617	2.097049426	0.936122037
Aqu2.1.00975_001	1.672965503	2.830623174	1.540552119
Aqu2.1.00976_001	1.200286236	0.709146744	0.926255498
Aqu2.1.00978_001	2.315208794	1.477892262	1.271699276
Aqu2.1.00980_001	0.977136643	1.204537681	1.66721216
Aqu2.1.00982_001	7.688008965	7.545405743	8.233286768
Aqu2.1.00983_001	0.734649232	1.147160592	0.514417516
Aqu2.1.00984_001	4.148881886	6.239716136	4.988933804
Aqu2.1.00985_001	3.270761683	1.849298188	1.797708726
Aqu2.1.00987_001	1.240931791	1.772268437	1.178768185
Aqu2.1.00991_001	1.329528055	2.724641254	2.200072931
Aqu2.1.00992_001	0.91573806	0.499783518	0.757644812
Aqu2.1.00997_001	1.336783668	1.221561345	0.693374941
Aqu2.1.00998_001	2.193892165	1.148492093	1.432750133
Aqu2.1.01001_001	3.257311228	3.330730867	2.346094054
Aqu2.1.01006_001	0.618025519	0.949810266	0.55913746
Aqu2.1.01008_001	0.473352313	0.400369586	1.208991643
Aqu2.1.01010_001	0.455251659	0.81712886	0.736438846
Aqu2.1.01012_001	1.240659865	0.553059868	0.350724222
Aqu2.1.01013_001	1.043901388	1.150743503	0.624471241
Aqu2.1.01017_001	1.504074003	0.350724222	0.350724222
Aqu2.1.01019_001	0.938827573	1.778451695	1.010544552
Aqu2.1.01020_001	1.732517236	2.316370586	1.199275109
Aqu2.1.01021_001	0.849790437	0.422242994	0.350724222
Aqu2.1.01022_001	0.350724222	0.979852453	1.691903931
Aqu2.1.01026_001	1.567424654	0.647211659	0.350724222
Aqu2.1.01027_001	3.772883986	1.234098229	1.374860171
Aqu2.1.01030_001	1.172470226	0.889835671	0.500326654
Aqu2.1.01032_001	0.587638868	0.587745927	0.6023965
Aqu2.1.01033_001	1.407323261	0.741899583	0.727748146
Aqu2.1.01039_001	0.350724222	0.706143113	0.996577773
Aqu2.1.01044_001	0.495634014	2.003906854	1.396599317
Aqu2.1.01046_001	0.768513383	1.26247244	0.8011737
Aqu2.1.01048_001	0.723093745	0.798919432	1.05542953
Aqu2.1.01049_001	0.971498679	0.410779353	0.514417516
Aqu2.1.01051_001	0.9576962	0.826694458	0.578145714
Aqu2.1.01052_001	2.28683338	3.132951479	2.647205421
Aqu2.1.01053_001	0.591396237	0.724905078	0.637480407
Aqu2.1.01055_001	2.320803277	1.935764208	1.020843048
Aqu2.1.01056_001	6.17256783	4.900246258	6.449696933
Aqu2.1.01059_001	0.524971297	1.000525483	0.548679421
Aqu2.1.01061_001	1.769608651	1.368552792	0.746141128
Aqu2.1.01062_001	2.198196582	1.397579854	1.659199085
Aqu2.1.01063_001	2.297085313	0.400369586	0.822251184
Aqu2.1.01066_001	0.694214204	1.458289234	0.841924759
Aqu2.1.01070_001	1.145745084	2.479907729	2.074273509
Aqu2.1.01071_001	1.36265043	2.829469663	2.708117888
Aqu2.1.01073_001	0.483111431	1.088360138	1.004668649
Aqu2.1.01074_001	0.904682241	1.633839058	1.064070546
Aqu2.1.01076_001	2.508087551	2.646139007	2.587565813
Aqu2.1.01077_001	0.350724222	1.230070385	1.155067001
Aqu2.1.01078_001	2.573253246	2.241085076	2.5010131
Aqu2.1.01080_001	3.398239155	2.725753275	1.695094907
Aqu2.1.01081_001	1.827093397	3.602850663	2.850433637
Aqu2.1.01084_001	1.983656716	0.734953833	1.047939637
Aqu2.1.01087_001	3.775308017	5.054766297	4.968787577
