	Cleavage	Brown	Mid	Late/Larvae	Metam	Adult
Aqu2.1.14549_001	2.537457286	10.5157473	4.590914675	2.329776414	6.117050777	3.311717431
Aqu2.1.14550_001	0.160895454	0.285843705	0.053958523	0	0.063230902	0.183012153
Aqu2.1.14551_001	0	0	0	0.014220502	0.016125004	0.061004051
Aqu2.1.14552_001	9.837910638	2.736967098	2.274831621	3.232810631	8.046511235	4.203346943
Aqu2.1.14553_001	1.212513056	2.136891791	6.338576266	6.035922133	6.761505606	2.338683428
Aqu2.1.14554_001	4.38256546	10.1576643	3.614535905	3.062285324	10.379455	7.161174228
Aqu2.1.14555_001	0	0.166636589	0	0	0.065413963	0.073375022
Aqu2.1.14556_001	4.961449157	0.803691312	2.785983305	2.749473528	10.26887035	1.203456979
Aqu2.1.14557_001	3.011934337	4.613306757	0.477830739	1.700682971	3.522778688	6.793206042
Aqu2.1.14558_001	19.18494526	17.30216217	15.18671655	14.83988286	15.76204815	11.99863628
Aqu2.1.14559_001	5.011257592	4.147484959	0.53956777	3.17602391	2.165132258	1.236235493
Aqu2.1.14560_001	3.805691147	4.368833527	3.793485707	3.187880859	5.329529335	3.532619073
Aqu2.1.14561_001	1.208293377	0	0.24153349	0.11942572	0.369677763	0
Aqu2.1.14563_001	0	0	0	0.019241545	0.029202341	0
Aqu2.1.14564_001	0	0	0	0	0.078534243	0
Aqu2.1.14565_001	3.926964552	2.240601097	2.298124061	1.112808193	9.299447903	1.985739382
Aqu2.1.14566_001	6.276532211	1.049280128	0.519765695	0.909809491	2.00702995	1.194942469
Aqu2.1.14567_001	0.054489585	0.810101644	0.106646199	0.512812571	0.139994254	0.305794619
Aqu2.1.14568_001	0.620148356	0.736107246	0.987010838	0.615359516	2.979527504	0.448139988
Aqu2.1.14569_001	0.10897917	0.166636589	0	0.775531254	1.520242369	3.570820461
Aqu2.1.14570_001	0	0	0	0.199723506	0.182038666	1.027725504
Aqu2.1.14571_001	0.754863257	0.488769821	0.210454736	5.482841334	5.257469081	27.58799799
Aqu2.1.14572_001	0	0	0	0	0	0.073375022
Aqu2.1.14573_001	0	0.18087788	0	0.05812436	0.323438071	0.401950541
Aqu2.1.14574_001	0.321790908	0.077748322	0.064132256	0.478824198	1.809978335	4.180549733
Aqu2.1.14575_001	0	0	0	0.046652336	0.212366893	0.761353321
Aqu2.1.14576_001	0	0	0	0.292656146	0.229562048	0.117083296
Aqu2.1.14577_001	0	0	0	0.126457486	0.120046041	0.356331499
Aqu2.1.14578_001	0	0	0	0.393951063	0.686827914	1.404950058
Aqu2.1.14579_001	0	0	0	0.052088626	0.165348346	1.212795019
Aqu2.1.14580_001	0	0	0	0.076588157	0.112128631	0.289694202
Aqu2.1.14581_001	0	0	0	0	0.078534243	0.536724444
Aqu2.1.14582_001	0	0	0	0	0.048375011	0.103279368
Aqu2.1.14583_001	0.832960094	0.36175576	0.183416174	0.48206468	3.428657801	9.531992865
Aqu2.1.14584_001	0	0	0.292547016	0.491805789	0.822379809	4.821572779
Aqu2.1.14585_001	0	0.236052708	0.090552147	0.787915874	1.829947564	4.841556932
Aqu2.1.14586_001	0	0	0	0	0.02586124	0.337208362
Aqu2.1.14587_001	0.355541883	0.486714623	0.010328839	0.019241545	0.112393524	0.077427188
Aqu2.1.14588_001	0.25984341	0.202525411	0	0.158863689	0.241783749	0.438526688
Aqu2.1.14589_001	2.4387683	7.475163764	1.886512737	0.878773192	0.38281765	2.257645631
Aqu2.1.14590_001	10.89951271	1.546526768	0.273116025	1.075278771	0.045693372	22.28546821
Aqu2.1.14591_001	0.895061471	1.620203287	0.164241758	0.15811295	0.088184304	10.08519838
Aqu2.1.14592_001	3.674827742	0	0.020657677	0	0	0.921427342
Aqu2.1.14593_001	7.802393325	38.17006053	41.09699964	5.818141502	9.311093904	16.71347668
Aqu2.1.14594_001	26.33388539	48.80146128	12.18909104	14.78062603	36.53075543	28.75455377
Aqu2.1.14595_001	1.405963587	3.495317494	1.899041065	2.577449032	5.089200401	7.736500981
Aqu2.1.14596_001	1.969354084	1.710293668	0.318153257	0.048843174	0	0
Aqu2.1.14597_001	1.121557357	1.591934141	1.134882509	1.691084915	5.132861241	3.576684132
